800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			980.8 Toxic effect of other specified alcohols
			980.9 Toxic effect of unspecified alcohol
		981 Toxic effect of petroleum products
			981 Toxic effect of petroleum products
		982 Toxic effect of solvents other than petroleum-based
			982 Toxic effect of solvents other than petroleum-based
			982.0 Toxic effect of benzene and homologues
			982.1 Toxic effect of carbon tetrachloride
			982.2 Toxic effect of carbon disulfide
			982.3 Toxic effect of other chlorinated hydrocarbon solvents
			982.4 Toxic effect of nitroglycol
			982.8 Toxic effect of other nonpetroleum-based solvents
		983 Toxic effect of corrosive aromatics acids and caustic alkalis
			983 Toxic effect of corrosive aromatics acids and caustic alkalis
			983.0 Toxic effect of corrosive aromatics
			983.1 Toxic effect of acids
			983.2 Toxic effect of caustic alkalis
			983.9 Toxic effect of caustic, unspecified
		984 Toxic effect of lead and its compounds (including fumes)
			984 Toxic effect of lead and its compounds (including fumes)
			984.0 Toxic effect of inorganic lead compounds
			984.1 Toxic effect of organic lead compounds
			984.8 Toxic effect of other lead compounds
			984.9 Toxic effect of unspecified lead compound
		985 Toxic effect of other metals
			985 Toxic effect of other metals
			985.0 Toxic effect of mercury and its compounds
			985.1 Toxic effect of arsenic and its compounds
			985.2 Toxic effect of manganese and its compounds
			985.3 Toxic effect of beryllium and its compounds
			985.4 Toxic effect of antimony and its compounds
			985.5 Toxic effect of cadmium and its compounds
			985.6 Toxic effect of chromium
			985.8 Toxic effect of other specified metals
			985.9 Toxic effect of unspecified metal
		986 Toxic effect of carbon monoxide
			986 Toxic effect of carbon monoxide
		987 Toxic effect of other gases fumes or vapors
			987 Toxic effect of other gases fumes or vapors
			987.0 Toxic effect of liquefied petroleum gases
			987.1 Toxic effect of other hydrocarbon gas
			987.2 Toxic effect of nitrogen oxides
			987.3 Toxic effect of sulfur dioxide
			987.4 Toxic effect of freon
			987.5 Toxic effect of lacrimogenic gas
			987.6 Toxic effect of chlorine gas
			987.7 Toxic effect of hydrocyanic acid gas
			987.8 Toxic effect of other specified gases, fumes, or vapors
			987.9 Toxic effect of unspecified gas, fume, or vapor
		988 Toxic effect of noxious substances eaten as food
			988 Toxic effect of noxious substances eaten as food
			988.0 Toxic effect of fish and shellfish eaten as food
			988.1 Toxic effect of mushrooms eaten as food
			988.2 Toxic effect of berries and other plants eaten as food
			988.8 Toxic effect of other specified noxious substances eaten as food
			988.9 Toxic effect of unspecified noxious substance eaten as food
		989 Toxic effect of other substances chiefly nonmedicinal as to source
			989 Toxic effect of other substances chiefly nonmedicinal as to source
			989.0 Toxic effect of hydrocyanic acid and cyanides
			989.1 Toxic effect of strychnine and salts
			989.2 Toxic effect of chlorinated hydrocarbons
			989.3 Toxic effect of organophosphate and carbamate
			989.4 Toxic effect of other pesticides, not elsewhere classified
			989.5 Toxic effect of venom
			989.6 Toxic effect of soaps and detergents
			989.7 Toxic effect of aflatoxin and other mycotoxin (food contaminants)
			989.8 Toxic effect of other substances chiefly nonmedicinal as to source
			989.81 Toxic effect of asbestos
			989.82 Toxic effect of latex
			989.83 Toxic effect of silicone
			989.84 Toxic effect of tobacco
			989.89 Toxic effect of other substance, chiefly nonmedicinal as to source, not elsewhere classified
			989.9 Toxic effect of unspecified substance, chiefly nonmedicinal as to source
	990-995 Other And Unspecified Effects Of External Causes
		990 Effects of radiation, unspecified
			990 Effects of radiation, unspecified
		991 Effects of reduced temperature
			991 Effects of reduced temperature
			991.0 Frostbite of face
			991.1 Frostbite of hand
			991.2 Frostbite of foot
			991.3 Frostbite of other and unspecified sites
			991.4 Immersion foot
			991.5 Chilblains
			991.6 Hypothermia
			991.8 Other specified effects of reduced temperature
			991.9 Unspecified effect of reduced temperature
		992 Effects of heat and light
			992 Effects of heat and light
			992.0 Heat stroke and sunstroke
			992.1 Heat syncope
			992.2 Heat cramps
			992.3 Heat exhaustion, anhydrotic
			992.4 Heat exhaustion due to salt depletion
			992.5 Heat exhaustion, unspecified
			992.6 Heat fatigue, transient
			992.7 Heat edema
			992.8 Other specified heat effects
			992.9 Unspecified effects of heat and light
		993 Effects of air pressure
			993 Effects of air pressure
			993.0 Barotrauma, otitic
			993.1 Barotrauma, sinus
			993.2 Other and unspecified effects of high altitude
			993.3 Caisson disease
			993.4 Effects of air pressure caused by explosion
			993.8 Other specified effects of air pressure
			993.9 Unspecified effect of air pressure
		994 Effects of other external causes
			994 Effects of other external causes
			994.0 Effects of lightning
			994.1 Drowning and nonfatal submersion
			994.2 Effects of hunger
			994.3 Effects of thirst
			994.4 Exhaustion due to exposure
			994.5 Exhaustion due to excessive exertion
			994.6 Motion sickness
			994.7 Asphyxiation and strangulation
			994.8 Electrocution and nonfatal effects of electric current
			994.9 Other effects of external causes
		995 Certain adverse effects not elsewhere classified
			995 Certain adverse effects not elsewhere classified
			995.0 Other anaphylactic reaction
			995.1 Angioneurotic edema, not elsewhere classified
			995.2 Unspecified adverse effect of drug medicinal and biological substance not elsewhere classified
			995.20 Unspecified adverse effect of unspecified drug, medicinal and biological substance
			995.21 Arthus phenomenon
			995.22 Unspecified adverse effect of anesthesia
			995.23 Unspecified adverse effect of insulin
			995.24 Failed moderate sedation during procedure
			995.27 Other drug allergy
			995.29 Unspecified adverse effect of other drug, medicinal and biological substance
			995.3 Allergy, unspecified, not elsewhere classified
			995.4 Shock due to anesthesia, not elsewhere classified
			995.5 Child maltreatment syndrome
			995.50 Child abuse, unspecified
			995.51 Child emotional/psychological abuse
			995.52 Child neglect (nutritional)
			995.53 Child sexual abuse
			995.54 Child physical abuse
			995.55 Shaken baby syndrome
			995.59 Other child abuse and neglect
			995.6 Anaphylactic reaction due to unspec food
			995.60 Anaphylactic reaction due to unspecified food
			995.61 Anaphylactic reaction due to peanuts
			995.62 Anaphylactic reaction due to crustaceans
			995.63 Anaphylactic reaction due to fruits and vegetables
			995.64 Anaphylactic reaction due to tree nuts and seeds
			995.65 Anaphylactic reaction due to fish
			995.66 Anaphylactic reaction due to food additives
			995.67 Anaphylactic reaction due to milk products
			995.68 Anaphylactic reaction due to eggs
			995.69 Anaphylactic reaction due to other specified food
			995.7 Other adverse food reactions, not elsewhere classified
			995.8 Other specified adverse effects not elsewhere classified
			995.80 Adult maltreatment, unspecified
			995.81 Adult physical abuse
			995.82 Adult emotional/psychological abuse
			995.83 Adult sexual abuse
			995.84 Adult neglect (nutritional)
			995.85 Other adult abuse and neglect
			995.86 Malignant hyperthermia
			995.89 Other specified adverse effects, not elsewhere classified
			995.9 Systemic inflammatory response syndrome (sirs)
			995.90 Systemic inflammatory response syndrome, unspecified
			995.91 Sepsis
			995.92 Severe sepsis
			995.93 Systemic inflammatory response syndrome due to noninfectious process without acute organ dysfunction
			995.94 Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
	996-999 Complications Of Surgical And Medical Care, Not Elsewhere Classified
		996 Complications peculiar to certain specified procedures
			996 Complications peculiar to certain specified procedures
			996.0 Mechanical complication of cardiac device implant and graft
			996.00 Mechanical complication of unspecified cardiac device, implant, and graft
			996.01 Mechanical complication due to cardiac pacemaker (electrode)
			996.02 Mechanical complication due to heart valve prosthesis
			996.03 Mechanical complication due to coronary bypass graft
			996.04 Mechanical complication of automatic implantable cardiac defibrillator
			996.09 Other mechanical complication of cardiac device, implant, and graft
			996.1 Mechanical complication of other vascular device, implant, and graft
			996.2 Mechanical complication of nervous system device, implant, and graft
			996.3 Mechanical complication of genitourinary device implant and graft
			996.30 Mechanical complication of unspecified genitourinary device, implant, and graft
			996.31 Mechanical complication due to urethral (indwelling) catheter
			996.32 Mechanical complication due to intrauterine contraceptive device
			996.39 Other mechanical complication of genitourinary device, implant, and graft
			996.4 Mechanical complication of internal orthopedic device implant and graft
			996.40 Unspecified mechanical complication of internal orthopedic device, implant, and graft
			996.41 Mechanical loosening of prosthetic joint
			996.42 Dislocation of prosthetic joint
			996.43 Broken prosthetic joint implant
			996.44 Peri-prosthetic fracture around prosthetic joint
			996.45 Peri-prosthetic osteolysis
			996.46 Articular bearing surface wear of prosthetic joint
			996.47 Other mechanical complication of prosthetic joint implant
			996.49 Other mechanical complication of other internal orthopedic device, implant, and graft
			996.5 Mechanical complication of other specified prosthetic device implant and graft
			996.51 Mechanical complication due to corneal graft
			996.52 Mechanical complication due to graft of other tissue, not elsewhere classified
			996.53 Mechanical complication due to ocular lens prosthesis
			996.54 Mechanical complication due to breast prosthesis
			996.55 Mechanical complication due to artificial skin graft and decellularized allodermis
			996.56 Mechanical complication due to peritoneal dialysis catheter
			996.57 Mechanical complication due to insulin pump
			996.59 Mechanical complication due to other implant and internal device, not elsewhere classified
			996.6 Infection and inflammatory reaction due to internal prosthetic device implant and graft
			996.60 Infection and inflammatory reaction due to unspecified device, implant, and graft
			996.61 Infection and inflammatory reaction due to cardiac device, implant, and graft
			996.62 Infection and inflammatory reaction due to other vascular device, implant, and graft
			996.63 Infection and inflammatory reaction due to nervous system device, implant, and graft
			996.64 Infection and inflammatory reaction due to indwelling urinary catheter
